message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post12423393	0.71	Paulfromitaly	Italian	L1	post12423392	Paulfromitaly	Italian	L1
post9991214	0.655	rsb	Italy, Italian	L1	post8099339	Linnets	italiano	L1
post17722307	0.79	magosil79	italian	L1	post17721295	Rodrián Buenosaires	Español rioplatense, Lunfardo	L2
post15600053	0.62	frugnaglio	Italian	L1	post15599962	Nino83	Italian	L1
post2478021	0.69	MünchnerFax	Italian, Italy	L1	post2477593	sambistapt	Brazilian Portuguese	L2
post13234500	0.675	hakdz	Italian	L1	post13229990	toysintheattic	Italiano	L1
post16717794	0.595	bearded	Italian	L1	post16717270	Poliglottesco	English - United States	L2
post12958941	0.62	Connie Eyeland	Italiano	L1	post12958655	assustalegrador	Norwegian	L2
post16214428	0.705	dragonseven	italiano	L1	post16213584	Vet1	Russian	L2
post16036238	0.78	Anja.Ann	Italian	L1	post16035487	Cliff Barnes	German	L2
post15921480	0.63	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1	post15921371	dragonseven	italiano	L1
post15633826	0.62	Pegasillo	Italian - Italy	L1	post15633709	Maryquilla	Spanish	L2
post15327739	0.67	dragonseven	italiano	L1	post15322650	giginho	Italiano & Piemontese	L1
post14959484	0.72	Toadino2	Italian - Rome	L1	post14951319	Paulfromitaly	Italian	L1
post9657652	0.665	ric.nic	Veneto, italian	L1	post9657557	federicoft	Italian	L1
post9679702	0.69	ric.nic	Veneto, italian	L1	post9679618	federicoft	Italian	L1
post14974386	0.68	Sempervirens	italiano	L1	post14973981	francisgranada	Hungarian	L2
post11718963	0.59	luway	Italian	L1	post11718864	elemika	Russian	L2
post14677747	0.775	fedeeffe	Italiano	L1	post14677213	Fiordaliso1	Turkish	L2
post14605084	0.585	_Marta_	italiano	L1	post14605018	IVO_GIU	chinese	L2
post14294589	0.58	dragonseven	italiano	L1	post14294191	Sempervirens	italiano	L1
post14197823	0.51	Nino83	Italian	L1	post14196150	Warder	Czech	L2
post13999985	0.615	dragonseven	italiano	L1	post13999815	virgilio42	Germa/Italian bilingual	L1
post13850485	0.525	Paulfromitaly	Italian	L1	post13850464	gnurreo92	italian	L1
post13712541	0.69	dôghen	italiano	L1	post13712502	sacerdos	English - United States	L2
post13103666	0.68	Connie Eyeland	Italiano	L1	post13103526	cunegonde	Italian	L1
post13617648	0.51	robin.at.night	Italian-Italy	L1	post13617011	Italic	russo	L2
post13585656	0.7	Sempervirens	italiano	L1	post13585620	Swisser	Mexican Spanish	L2
post13487383	0.68	Passante	italian	L1	post13486949	dragonseven	italiano	L1
post13448712	0.54	Connie Eyeland	Italiano	L1	post13448560	verbalista	Slovenian	L2
post2977414	0.765	SunDraw	Veneto (Italia)	L1	post2976771	Necsus	Italian (Italy)	L1
post4427583	0.73	Necsus	Italian (Italy)	L1	post4427240	Sabrine07	Italian	L1
post13325559	0.74	Connie Eyeland	Italiano	L1	post13324505	Feiht	Czech	L2
post13269108	0.53	Connie Eyeland	Italiano	L1	post13268427	Capitão Gancho	Portuguese - Brazil	L2
post13184919	0.645	Sandhinet	Italiano	L1	post13184412	sesperxes	Spanish-Spain	L2
post13066720	0.56	Connie Eyeland	Italiano	L1	post13066348	sesperxes	Spanish-Spain	L2
post13067204	0.67	Connie Eyeland	Italiano	L1	post13066425	sesperxes	Spanish-Spain	L2
post13036025	0.685	Connie Eyeland	Italiano	L1	post13034882	assonnata	polacco	L2
post13025700	0.565	Connie Eyeland	Italiano	L1	post13025262	Hanna84	Hungarian	L2
post13016095	0.645	Connie Eyeland	Italiano	L1	post13015926	coldvolition	English	L2
post12974931	0.675	Connie Eyeland	Italiano	L1	post12974593	pampers	Serbian	L2
post12760895	0.54	Connie Eyeland	Italiano	L1	post12760192	Magixo	Croatian	L2
post3311429	0.69	Necsus	Italian (Italy)	L1	post3311312	britexpatswiss	Switzerland, English	L2
post12421620	0.665	Gommik	Italiano- Italia	L1	post12421559	RCLB	Portuguese - Brazil	L2
post12405877	0.74	Sempervirens	italiano	L1	post12405717	Charlie89	Spanish - Spain	L2
post12264393	0.655	Anja.Ann	Italian	L1	post12264229	cristoforo1	polacco	L2
post12261001	0.54	Mute	Italian	L1	post12260801	Joshua P.	German	L2
post12215016	0.665	violadaprile	italian	L1	post12214544	pizzi	Italian, Italy	L1
post12125682	0.58	violadaprile	italian	L1	post12125626	Mano 2010	Arabo	L2
post12036251	0.515	Anja.Ann	Italian	L1	post12036129	strofinaccio	Español - Rio de la plata	L2
post12028259	0.61	francisgranada	Hungarian	L2	post12028069	longplay	italian	L1
post12005371	0.7	violadaprile	italian	L1	post12003459	francisgranada	Hungarian	L2
post11880573	0.7	Elxenc	català/valencià	L2	post11880366	parriparri	italian	L1
post11460788	0.72	otherwise	Italiano - Italia	L1	post11460177	CaruraLeam	Italian	L1
post8916632	0.76	mario realini	ITALIANO	L1	post8916445	Azazel81	Italy - Italian	L1
post9619979	0.715	Ruminante	Italian	L1	post9619650	zipp404	Bilingual English|Español	L2
post5001187	0.72	Einstein	UK, English	L2	post5001039	Montesacro	Italiano	L1
post10755861	0.595	ursu-lab	italian, catalan & spanish	L1	post10755646	Joshua P.	German	L2
post10707998	0.66	Necsus	Italian (Italy)	L1	post10707845	catrafuse	Italiano e Friulano	L1
post10306978	0.53	zipp404	Bilingual English|Español	L2	post10306498	-anna-	Russian	L2
post10097052	0.635	zipp404	Bilingual English|Español	L2	post10097004	tranquilspaces	English (US)	L2
post9658966	0.675	federicoft	Italian	L1	post9657755	francisgranada	Hungarian	L2
post9603384	0.6	Iperione	Italian	L1	post9603216	zipp404	Bilingual English|Español	L2
post9213433	0.71	Giorgio Spizzi	Italian	L1	post9213289	giovannino	Italian, Neapolitan	L1
post9189801	0.695	Oblomovita	Italian	L1	post9189571	zipp404	Bilingual English|Español	L2
post8082622	0.66	zipp404	Bilingual English|Español	L2	post8082470	Lovelyl	Italian and American English	L1
post8757113	0.62	zipp404	Bilingual English|Español	L2	post8757097	canross	Italy Italian	L1
post8389017	0.565	zipp404	Bilingual English|Español	L2	post8388600	sambistapt	Brazilian Portuguese	L2
post8286285	0.725	annapo	Italian	L1	post8286237	gatogab	Español	L2
post7165059	0.585	facciadipietra	Italian (northern, southern and central background)	L1	post7162818	Donsez	Swedish, Finland	L2
post7996112	0.695	Vekkio	Italian	L1	post7995935	pinkandbliss	Turkish	L2
post7883350	0.645	facciadipietra	Italian (northern, southern and central background)	L1	post7882352	Sugar-vampangel	Français (Suisse)	L2
post7703220	0.67	Astropolyp	Italian - Tuscany	L1	post7702510	C.B.	italian	L1
post7593047	0.66	Geofilo	Italian	L1	post7588652	Doralice887	Italian	L1
post7301470	0.675	Damon89	Italian	L1	post7301355	nevevento	chinese	L2
post6668793	0.695	Hermocrates	Italian & British English (bilingual)	L1	post6668599	winegrower	Greek	L2
post4757857	0.675	SunDraw	Veneto (Italia)	L1	post4757380	bubu7	Italiano	L1
post6475781	0.655	Hermocrates	Italian & British English (bilingual)	L1	post6474788	little_warrior88	México, Español	L2
post6340169	0.68	Hermocrates	Italian & British English (bilingual)	L1	post6338915	natuzz	italian	L1
post6366991	0.805	marylian	italiano	L1	post5850552	Giamma	Brazil, portoghese	L2
post6159531	0.635	Hermocrates	Italian & British English (bilingual)	L1	post6159341	Marin1985	Croatian	L2
post6104846	0.715	Sprocedato	Italian - Rome	L1	post6104535	Kotler	Sweden Swedish	L2
post5601179	0.705	Saoul	Italian	L1	post5600305	sabrinita85	Italian	L1
post6072941	0.615	miss_sky	Italian	L1	post6072836	damoskito	French	L2
post5142954	0.63	SunDraw	Veneto (Italia)	L1	post5140229	urizon9	English	L2
post5122357	0.73	SunDraw	Veneto (Italia)	L1	post5121891	ToscanoNYC	Italian & English -US (bilingual)	L1
post4881519	0.665	vega3131	Italian	L1	post4880850	minoski	Italian	L1
post4627901	0.715	Sabrine07	Italian	L1	post4627789	lostinmilan	Czech, Czech Republic	L2
post4217893	0.71	Sicily	Spain Spanish	L2	post4208352	stefanel	Slovak	L2
post3132574	0.69	xeneize	Italian	L1	post3132504	Cristina.	Spain-Spanish	L2
post2968969	0.69	MünchnerFax	Italian, Italy	L1	post2967432	_forumuser_	Italian	L1
post2345475	0.79	rocamadour	Italian	L1	post2345341	IlPetaloCremisi	Italia	L1
post1840537	0.565	daniele712	Italia	L1	post1838890	carlasimone	spanish	L2
post1745713	0.585	Necsus	Italian (Italy)	L1	post1745160	iretta	Ukrainian-Ukraine	L2
post1151174	0.715	moodywop	Italian - Italy	L1	post1149494	nowall	Italia, Italiano	L1
post998313	0.69	ceci 79	Italian, Italy	L1	post998247	TimLA	English - US	L2
post827740	0.63	Idioteque	Italy - Italian	L1	post827681	utente	American English	L2
post790449	0.64	Silvia	Italian	L1	post790448	Silvia	Italian	L1
